key	family	upstream_case	pinned_source	disposition	rust_evidence
L1-013	compose	TestTransformServicesPortsExtension_XPorts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/port_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-014	compose	TestPreDeployHookExtension	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/predeploy_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-015	compose	TestLoadProject_EnvFileInterpolation	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/project_test.go	tested	ployz/tests/compose_cli.rs::real_compose_normalizes_without_a_daemon_and_project_inputs_stay_relative
L1-016	compose	TestLoadProject_Unsupported	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/project_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-017	compose	TestLoadProject_Secrets	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/project_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-018	compose	TestResolveSecrets	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-019	compose	TestResolveSecrets_FileSource	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-020	compose	TestResolveSecrets_CommandUsesProjectEnvironment	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose_cli.rs::real_compose_recovers_command_secrets_selected_by_compose_file
L1-021	compose	TestResolveSecrets_EnvironmentSource	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-022	compose	TestResolveSecrets_EnvironmentSourceEmpty	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-023	compose	TestResolveSecrets_Errors	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-024	compose	TestResolveSecrets_Once	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-025	compose	TestHasCommandSecretRefs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/secret_test.go	tested	ployz/tests/compose.rs::secrets_are_plaintext_lazy_cached_and_redacted_from_errors
L1-026	compose	TestServiceSpecFromCompose	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-027	compose	TestServiceSpecFromCompose_Caddy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-028	compose	TestServiceSpecFromCompose_GPUs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-029	compose	TestServiceSpecFromCompose_VolumeDriverOpts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::extensions_accept_machine_scalar_and_list_and_preserve_external_volumes
L1-030	compose	TestServiceSpecFromCompose_Ulimits	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-031	compose	TestServiceSpecFromCompose_UpdateConfig	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-032	compose	TestServiceSpecFromCompose_XMachinesPlacement	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::extensions_accept_machine_scalar_and_list_and_preserve_external_volumes
L1-033	compose	TestServiceSpecFromCompose_Devices	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/compose/service_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-034	deploy	TestEvalContainerSpecChange_ContainerCapAdd	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-035	deploy	TestEvalContainerSpecChange_ContainerCapDrop	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-036	deploy	TestEvalContainerSpecChange_ContainerPidMode	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-037	deploy	TestEvalContainerSpecChange_ContainerTty	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-038	deploy	TestEvalContainerSpecChange_ContainerResources	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_handles_resource_precedence_and_unordered_volumes
L1-039	deploy	TestEvalContainerSpecChange_ContainerImage	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-040	deploy	TestEvalContainerSpecChange_ContainerLogDriver	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-041	deploy	TestEvalContainerSpecChange_ContainerPrivileged	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-042	deploy	TestEvalContainerSpecChange_ContainerSysctls	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-043	deploy	TestEvalContainerSpecChange_PullPolicy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_distinguishes_mutable_resources_from_recreation
L1-044	deploy	TestEvalContainerSpecChange_ContainerUser	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-045	deploy	TestEvalContainerSpecChange_Placement	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_distinguishes_mutable_resources_from_recreation
L1-046	deploy	TestEvalContainerSpecChange_Volumes	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_handles_resource_precedence_and_unordered_volumes
L1-047	deploy	TestEvalContainerSpecChange_Devices	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-048	deploy	TestEvalContainerSpecChange_DeviceReservations	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-049	deploy	TestEvalContainerSpecChange_Ulimits	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_covers_upstream_immutable_field_families
L1-050	deploy	TestEvalContainerSpecChange_Mixed	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/container_test.go	tested	ployz/tests/deploy_plan/comparison.rs::spec_comparison_handles_resource_precedence_and_unordered_volumes
L1-051	deploy	TestVolumeScheduler_Schedule	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/scheduler/volume_test.go	tested	ployz/tests/deploy_plan/placement.rs::mounted_docker_volume_anchors_all_replicas_to_its_machine
L1-052	deploy	TestDetermineUpdateOrder	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/strategy_test.go	tested	ployz/tests/deploy_plan/placement.rs::inferred_update_order_preserves_the_two_stop_first_heuristics
L1-053	deploy	TestReconcileGlobalContainer	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/strategy_test.go	tested	ployz/tests/deploy_plan/rollout.rs::global_replacement_stops_other_containers_with_conflicting_host_ports_first
L1-054	deploy	TestPreDeployOperations	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/deploy/strategy_test.go	tested	ployz/tests/deploy_plan/rollout.rs::pre_deploy_hook_stops_active_predecessors_and_runs_before_replacement
L1-055	api-domain	TestConfigMount_GetNumericUid	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/config_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-056	api-domain	TestConfigMount_GetNumericGid	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/config_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-057	api-domain	TestValidateConfigsAndMounts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/config_test.go	tested	ployz/tests/deploy_plan/validation.rs::missing_volume_and_config_references_cannot_enter_a_requested_spec
L1-058	api-domain	TestContainer_Healthy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/container_test.go	tested	ployz/src/deploy/exec_tests/health.rs::health_monitor_fails_terminal_unhealthy_and_crash_but_skip_bypasses_inspection
L1-059	api-domain	TestContainer_ConflictingServicePorts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/container_test.go	tested	ployz/tests/deploy_plan/rollout.rs::global_replacement_stops_other_containers_with_conflicting_host_ports_first
L1-060	api-domain	TestMachineMembersList_Info	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/machine_test.go	tested	ployzd/tests/network_plane.rs::endpoint_selection_preserves_unknown_down_rotation_and_reverse_learning
L1-061	api-domain	TestPortSpec_Validate	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/port_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-062	api-domain	TestPortSpec_String	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/port_test.go	tested	ployz/tests/compose.rs::normalized_surface_reaches_requested_specs
L1-063	api-domain	TestParsePortSpec	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/port_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-064	api-domain	TestServiceSpec_Validate_CaddyAndPorts	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/service_test.go	tested	ployz/tests/compose.rs::classifier_keeps_the_warning_error_split_and_incomplete_boundary
L1-065	api-domain	TestContainerSpec_Clone	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/service_test.go	tested	ployzd/src/docker/spec_store.rs::resolved_spec_round_trips_and_removal_reclaims_unreferenced_configs
L1-066	api-domain	TestVolumeSpec_MatchesDockerVolume	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/api/volume_test.go	tested	ployz/tests/deploy_plan/validation.rs::compatible_named_volume_aliases_and_repeated_mounts_create_once
L1-067	client-caddy-dns-logs	TestLatestCaddyImage	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/caddy_test.go	tested	ployz/src/caddy.rs::selects_only_the_greatest_bare_two_x_y_tag
L1-068	client-caddy-dns-logs	TestGetVerifyURL	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/dns_internal_test.go	tested	ployz/src/dns.rs::reachability_requires_status_200_and_the_exact_machine_id_bytes
L1-069	client-caddy-dns-logs	TestGetCreateDomainRecordsRequest	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/dns_internal_test.go	tested	ployz/src/dns.rs::wildcard_records_include_each_present_address_family_once
L1-070	client-caddy-dns-logs	TestLogMerger_EmptyStreams	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_closes_empty_flushes_and_surfaces_stream_errors
L1-071	client-caddy-dns-logs	TestLogMerger_SingleStream	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-072	client-caddy-dns-logs	TestLogMerger_PreservesData	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-073	client-caddy-dns-logs	TestLogMerger_BasicMerge	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-074	client-caddy-dns-logs	TestLogMerger_HeartbeatAdvancesWatermark	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-075	client-caddy-dns-logs	TestLogMerger_ErrorForwarding	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_closes_empty_flushes_and_surfaces_stream_errors
L1-076	client-caddy-dns-logs	TestLogMerger_ZeroTimestampForwarding	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-077	client-caddy-dns-logs	TestLogMerger_OutOfOrderSingleStream	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-078	client-caddy-dns-logs	TestLogMerger_UnevenStreams	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-079	client-caddy-dns-logs	TestLogMerger_StalledStreamExcludedFromWatermark	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/pkg/client/logmerger_test.go	tested	ployz/src/operator_tests.rs::log_merger_orders_after_watermarks_and_surfaces_zero_errors_and_stalls
L1-080	cli-config	TestConfig_Save	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/cli/config/config_test.go	tested	ployz/tests/context.rs::config_round_trips_ordered_connections_with_private_permissions
L1-081	cli-config	TestMachineConnection_String	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/cli/config/connection_test.go	tested	ployz/tests/context.rs::direct_connections_accept_only_the_reduced_transport_set
L1-082	cli-config	TestMachineConnection_Validate	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/cli/config/connection_test.go	tested	ployz/tests/context.rs::stored_connections_reject_missing_multiple_malformed_and_removed_transports
L1-083	cli-config	TestCollectContainers	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/cmd/uc/ps_test.go	tested	ployz-core/src/service.rs::partial_live_results_keep_every_machine_outcome_and_only_derive_successes
L1-084	caddyfile	TestCaddyfileGenerator	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/machine/caddyconfig/caddyfile_test.go	tested	ployzd/src/caddy_tests.rs::automatic_sites_match_the_frozen_caddyfile_contract
L1-085	caddyfile	TestCaddyfileGeneratorWithCustomConfigs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/machine/caddyconfig/caddyfile_test.go	tested	ployzd/src/caddy_tests.rs::custom_configs_use_latest_specs_render_upstreams_and_isolate_failures
L1-086	caddyfile	TestCaddyfileGeneratorWithoutCustomConfigs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/internal/machine/caddyconfig/caddyfile_test.go	tested	ployzd/src/caddy_tests.rs::unavailable_caddy_omits_every_custom_config
