key	declaration	pinned_source	disposition	reason
L3-039	TestMachineOperations/remove machine clears container records from cluster store	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/machine_test.go#L458	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-040	TestDeployment/global auto-generated name	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L50	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-041	TestDeployment/global with machine placement	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L223	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-042	TestDeployment/caddy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L306	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-043	TestDeployment/caddy with machine placement	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L335	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-044	TestDeployment/caddy and service with custom configs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L381	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-045	TestDeployment/replicated	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L526	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-046	TestDeployment/replicated with machine placement	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L694	selected	Executable through the real ignored CLI workflow in `ployz/tests/workflow_layer3.rs`.
L3-047	TestDeployment/replicated with missing volume fails	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L752	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-048	TestDeployment/replicated with volume on single machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L785	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-049	TestDeployment/replicated with volume distributed	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L833	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-050	TestDeployment/replicated with multiple volumes on single machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L893	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-051	TestDeployment/replicated with multiple volumes one missing fails	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L975	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-052	TestDeployment/replicated with multiple volumes distributed	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1037	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-053	TestDeployment/global with missing volume fails	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1114	consolidated	Missing-volume failure is selected for replicated mode; adjacent selected cases cover global scheduling.
L3-054	TestDeployment/global with volume on single machine	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1145	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-055	TestDeployment/global with volume on multiple machines	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1198	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-056	TestDeployment/list images for replicated service	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1256	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-057	TestDeployment/healthcheck becomes healthy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1328	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-058	TestDeployment/healthcheck becomes unhealthy	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1375	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-059	TestDeployment/container crashes on startup with healthcheck	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1415	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-060	TestDeployment/container crashes on startup without healthcheck	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1455	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-061	TestServiceLifecycle/create container with spec defaults	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1504	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-062	TestServiceLifecycle/create container with full spec	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1533	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-063	TestServiceLifecycle/create container invalid service	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1678	internal	Raw Service ID validation belongs in shared semantic units.
L3-064	TestServiceLifecycle/container lifecycle	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1695	internal	Raw primitives are exercised through selected Deploy product sequences.
L3-065	TestServiceLifecycle/1 replica	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1731	consolidated	Initial portion of the selected replicated Deploy scenario.
L3-066	TestServiceLifecycle/1 replica with ports	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1781	consolidated	Host and ingress ports are covered by selected Deploy and Compose scenarios.
L3-067	TestServiceLifecycle/3 replicas with volume auto-created	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1833	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-068	TestServiceLifecycle/global mode	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1892	consolidated	Covered by selected global auto-name and global-placement scenarios.
L3-069	TestServiceLifecycle/service logs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L1924	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-070	TestServiceLifecycle/internal DNS	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2081	setup-parent	Its four leaf DNS declarations remain selected.
L3-071	TestServiceLifecycle/internal DNS/service name resolves to all container IPs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2147	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-072	TestServiceLifecycle/internal DNS/machine-specific service DNS lookups	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2160	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-073	TestServiceLifecycle/internal DNS/service ID DNS lookup	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2188	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-074	TestServiceLifecycle/internal DNS/nearest mode prioritizes local subnet IPs	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2201	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
L3-075	TestServiceLifecycle/metrics endpoint on machine returns prometheus metrics	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2231	setup-parent	Its version-metric leaf remains selected under a Ployz-owned metric name.
L3-076	TestServiceLifecycle/metrics endpoint on machine returns prometheus metrics/metrics version is available	https://github.com/psviderski/uncloud/blob/b7e224a1eff98813b1d1a32034d977be24be994e/test/e2e/service_test.go#L2268	selected	Mandatory Layer 3 contract; land with the first slice that makes it executable.
